file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
lalka4,0.0,38.0121875,AutorkiGlos,-50.15053714793367,-53.33421096569154,7.187517171695286,6.035503556400812
Ks1,0.0,23.805375,AutorkiGlos,-50.864015211223204,-52.6933241418367,6.82055087687597,-3.060236700086511
lalka1,0.0,36.8175625,AutorkiGlos,-51.16465692934783,-54.446135827473235,6.133769143197314,8.650784462633379
lalka2,0.0,41.126875,AutorkiGlos,-49.778616060569206,-52.34174759595564,5.260783243094016,-2.2211375421694335
lalka3,0.0,16.8921875,AutorkiGlos,-49.02182128037937,-50.98467034029673,4.480922668020011,-4.3751612984196
Ks3c,0.0,23.590875,AutorkiGlos,-49.653783941450996,-51.59001678604263,4.4149925451501675,-6.223711014921371
Ks1c,0.0,23.1215625,AutorkiGlos,-50.39289096320346,-51.484654449835055,4.077664674464195,-7.034321776474455
lalka6,0.0,33.958875,AutorkiGlos,-48.07359494696523,-50.612065920402046,3.916117956868004,-3.0426994184452365
Ks2c,0.0,14.2895625,AutorkiGlos,-49.29872547302032,-50.584205525033425,3.7010899831263746,-4.678333451072632
Ks2a,0.0,20.006875,AutorkiGlos,-53.19888850675338,-55.302933577652816,3.637499321510685,6.296002742625056
lalka5,0.0,35.4095625,AutorkiGlos,-48.30910038146369,-50.859565090981256,3.571955930096346,-2.6012128321145074
Ks1b,0.0,20.798,AutorkiGlos,-50.80261218719923,-52.25739057899126,3.3866087273598544,-2.0819242258667146
Ks2b,0.0,14.8015625,AutorkiGlos,-51.0133362229364,-53.238217547931505,3.2930380468866844,-2.2048965999487002
testowy0,0.0,4.8186875,AutorkiGlos,-51.344242350260416,-53.663544273376466,2.4239027691770203,3.430499531863724
Ks3b,0.0,10.790875,AutorkiGlos,-52.00662285283194,-52.641027198647556,2.3241222485116366,-7.776679025191223
